query,group,time,value
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T10:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T11:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T11:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T12:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T12:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T13:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T13:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T14:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T14:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T15:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T15:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T16:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T16:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T17:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T17:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T18:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T18:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T19:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T19:30:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-17T20:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T16:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T17:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T17:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T18:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T18:30:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T19:00:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T19:30:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T20:00:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T20:30:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T21:00:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T21:30:00.000Z,N/A
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T22:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T22:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T23:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-16T23:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T00:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T00:30:00.000Z,63.3
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T01:00:00.000Z,87.6
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T01:30:00.000Z,135.8
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T02:00:00.000Z,2958.533
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T02:30:00.000Z,6612.417
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T03:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T03:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T04:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T04:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T05:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T05:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T06:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T06:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T07:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T07:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T08:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T08:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T09:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T09:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T10:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T10:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T11:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T11:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T12:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T12:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T13:00:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T13:30:00.000Z,59
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-app-2826-10-3-7-189-use;staging:bench-11,2020-09-17T14:00:00.000Z,59
